Stadt,Club,Veranstaltername,Homepage,Email,Telefon,Bundesland,Land
Wiesbaden,0,0,https://www.facebook.com/sdfhiuafhiruhfiufhirhfieurfirfheiurfh,0,0,0,Deutschland
Mainz,0,0,"https://www.facebook.com/stempelkisseninc

",stempelkisseninc@web.de,0,0,Deutschland
Mainz,0,0,https://www.facebook.com/1000ttn,0,0,0,Deutschland
Mainz,0,0,gunpowder.plot@gmx.de,gunpowder.plot@gmx.de,0,0,Deutschland
Mainz,0,0,booking@keepitasecret.de,booking@keepitasecret.de,0,0,Deutschland
Mainz,0,0,http://www.facebook.com/unleashshows,0,0,0,Deutschland
Frankfurt a.M.,0,0,contact@enemy-inside-booking.com,contact@enemy-inside-booking.com,0,0,Deutschland
Frankfurt a.M.,0,0,info@zombiefied.de,info@zombiefied.de,0,0,Deutschland
Frankfurt a.M.,0,0,https://www.facebook.com/flwxmjn,0,0,0,Deutschland
Sankt Ingbert (Juzi),0,0,https://www.facebook.com/werfrisstpopel,0,0,0,Deutschland
Köln,0,0,https://www.facebook.com/pages/PR-CONCERTS/122219241126590?fref=pb&hc_location=profile_browser,0,0,0,Deutschland
Köln (AZ),0,0,https://www.facebook.com/ryszard.wallerius,0,0,0,Deutschland
Köln,0,0,https://www.facebook.com/nicoxtoscani?fref=ts,0,0,0,Deutschland
Köln,0,0,https://www.facebook.com/lapinatashows,0,0,0,Deutschland
Köln,0,0,https://www.facebook.com/mosh.industrybooking?pnref=lhc,0,0,0,Deutschland
Aachen,0,0,https://www.facebook.com/oude.genever,0,0,0,Deutschland
Gießen (AK44),0,0,https://www.facebook.com/Elecetricmud,0,0,0,Deutschland
Gießen (AK44),0,0,https://www.facebook.com/momentumshowscasesgi,0,0,0,Deutschland
Gießen (AK44),0,0,https://www.facebook.com/tim.dingleberryrecords,0,0,0,Deutschland
Essen,0,0,https://www.facebook.com/emokellerbooking?fref=ts ,0,0,0,Deutschland
Münster,0,0,https://www.facebook.com/nico.lai.988?fref=pb&hc_location=friends_tab,0,0,0,Deutschland
Münster (Baracke),0,0,https://www.facebook.com/einfachmachendiy,0,0,0,Deutschland
Münster,0,0,https://www.facebook.com/deadtownshows,0,0,0,Deutschland
Münster,0,0,https://www.facebook.com/threechordsmag?fref=ts,0,0,0,Deutschland
Bielefeld,0,0,https://www.facebook.com/Krabbelgruppe,0,0,0,Deutschland
Bielefeld (Potemkin),0,0,https://www.facebook.com/potemkinbielefeld,0,0,0,Deutschland
Iwo im Westen,0,0,https://www.facebook.com/nico.lai.988,0,0,0,Deutschland
Ruhrpott,0,0,https://www.facebook.com/pages/Sharp-Darts-Booking,0,0,0,Deutschland
Siegen,0,0,https://www.facebook.com/57tbcc,0,0,0,Deutschland
Coburg,0,0,https://www.facebook.com/kathrin.allendoerfer,0,0,0,Deutschland
Coburg,0,0,https://www.facebook.com/helmutassi?fref=ts,0,0,0,Deutschland
Coburg,0,0,https://www.facebook.com/ashesofalifetime?fref=ts,0,0,0,Deutschland
Bad-Neustadt a.d.Saale,0,0,https://www.facebook.com/olli.dude,0,0,0,Deutschland
Bayreuth,0,0,https://www.facebook.com/156465914376098,0,0,0,Deutschland
Bayreuth,0,0,"https://www.facebook.com/andreas.boehm.182
(Andreas)",0,0,0,Deutschland
Bayreuth (Glashaus),0,0,"http://www.glashaus.org/booking
metal@glashaus.org","http://www.glashaus.org/booking
metal@glashaus.org",0,0,Deutschland
Marktredwitz (bei Bayreuth),0,0,https://www.facebook.com/mythos.marktredwitz,0,0,0,Deutschland
Hof,0,0,https://www.facebook.com/pages/Underground-Hof/377270162402096,0,0,0,Deutschland
Würzburg,0,0,https://www.facebook.com/propagandasounds,0,0,0,Deutschland
Würzburg,0,0,rabbitshowswuerzburg@gmail.com,rabbitshowswuerzburg@gmail.com,0,0,Deutschland
Würzburg,0,0,https://www.facebook.com/justgoodshows,0,0,0,Deutschland
Würzburg,0,0,https://www.facebook.com/shivery.productions,0,0,0,Deutschland
Würzburg,0,0,https://www.facebook.com/mamylon,0,0,0,Deutschland
Würzburg,0,0,booking@kellerperle.de,booking@kellerperle.de,0,0,Deutschland
Würzburg,0,0,https://www.facebook.com/marcel.hope,0,0,0,Deutschland
Würzburg,0,0,https://www.facebook.com/michael.ch.52,0,0,0,Deutschland
Würzburg,0,0,https://www.facebook.com/dizzie.pascal,0,0,0,Deutschland
Würzburg,0,0,https://www.facebook.com/seb.it.off?fref=ts ,0,0,0,Deutschland
Würzburg,0,0,"
https://www.facebook.com/dannydeadlift?fref=ts",Contact.gndock@googlemail.comContact.gndock@googlemail.com,0,0,Deutschland
Würzburg,0,0,hobeybooking@gmx.de,hobeybooking@gmx.de,0,0,Deutschland
Schweinfurt,0,0,Schweinfurt Hardcore: https://www.facebook.com/david.sachs.37?fref=ts,0,0,0,Deutschland
Leonberg/Zirkenreuth,0,0,https://www.facebook.com/a.ena.71,0,0,0,Deutschland
Erlangen/Nürnberg,0,0,https://www.facebook.com/jannik.aoam,0,0,0,Deutschland
Nürnberg/Erlangen (JuHa),0,0,https://www.facebook.com/SpringT0ifel,0,0,0,Deutschland
Nürnberg,0,0,https://www.facebook.com/kili.muchentuchen,0,0,0,Deutschland
Nürnberg (Projekt 31),0,0,https://www.facebook.com/alternativekultur.nuernberg,0,0,0,Deutschland
Nürnberg,0,0,https://www.facebook.com/keepitevilfestival,0,0,0,Deutschland
Nürnberg,0,0,https://www.facebook.com/ArmedWithAMindShows,0,0,0,Deutschland
Nürnberg,0,0,https://www.facebook.com/dominik.elberskirch,0,0,0,Deutschland
Nürnberg (Desi),0,0,https://www.facebook.com/pages/Desi-Nbg/116867568339501?fref=ts,0,0,0,Deutschland
Nürnberg (Zentralcafé K4),0,0,"https://www.facebook.com/zentralcafe.nbg

https://www.facebook.com/musikverein.nbg
",info@musikverein-concerts.deinfo@musikverein-concerts.de,0,0,Deutschland
Nürnberg,0,0,Info@SuperFusionPro.com,Info@SuperFusionPro.com,0,0,Deutschland
Nürnberg,0,0,"
mail@asylum-concerts.de ","
mail@asylum-concerts.de ",0,0,Deutschland
Nürnberg,0,0,thexheat@gmail.com,thexheat@gmail.com,0,0,Deutschland
Burglengenfeld,0,0,"https://www.facebook.com/juzbul
",juz_burglengenfeld@web.de,0,0,Deutschland
Ansberg,0,0,booking@13eins.de,booking@13eins.de,0,0,Deutschland
Augsburg (Ballonfabrik),0,0,"adsrec13@googlemail.com
(Matthias)

http://www.ballonfabrik.org/index.php/home",bandanfrage-ballonfabrik@yahoogroups.combandanfrage-ballonfabrik@yahoogroups.com,0,0,Deutschland
Ulm,0,0,"https://www.facebook.com/alices.anthem
(Steffi)",0,0,0,Deutschland
München,0,0,https://www.facebook.com/learnto.swim.1,0,0,0,Deutschland
München (Kafe Marat),0,0,kafemarat[at]gmx.de,0,0,0,Deutschland
München (Kafe Kult),0,0,booking@kafekult.de,booking@kafekult.de,0,0,Deutschland
München (Final Exit Rec.),0,0,"http://www.facebook.com/grobinger 
",finalexitrecords@googlemail.com,0,0,Deutschland
München,0,0,http://www.facebook.com/TikiBashMunich,0,0,0,Deutschland
Pfaffenhofen an der Ulm,0,0,https://www.facebook.com/martin.shallburn,0,0,0,Deutschland
Landsberg,0,0,"https://www.facebook.com/blutsvente666
",blutsvente666@googlemail.com,0,0,Deutschland
Berchtesgarden,0,0,black.phoenix@hotmail.de,black.phoenix@hotmail.de,0,0,Deutschland
Berchtesgarden,0,0,https://www.facebook.com/pages/Kuckucksnest-Berchtesgaden/208037842585177,0,0,0,Deutschland
Freiburg,0,0,https://www.facebook.com/christian.tersicore?fref=pb&hc_location=friends_tab,0,0,0,Deutschland
Freiburg,0,0,https://www.facebook.com/roman.wettstein?fref=pb&hc_location=friends_tab,0,0,0,Deutschland
Freiburg,0,0,https://www.facebook.com/prisonofhope,0,0,0,Deutschland
Freiburg,0,0,"https://www.facebook.com/pages/Slacklinecityshows
",slacklinecityshows@gmx.de,0,0,Deutschland
Freiburg,0,0,https://www.facebook.com/footloose.shows.1,0,0,0,Deutschland
Auggen,0,0,https://www.facebook.com/pages/Raumstation-Sternen-Auggen/144343352257493,0,0,0,Deutschland
Stuttgart,0,0,"https://www.facebook.com/JuHaWest.Flo

",konzerte-west@jugendhaus.net / Flo JuhaWest,0,0,Deutschland
Stuttgart (Day By Day Records),0,0,info@daybydayrec.com,info@daybydayrec.com,0,0,Deutschland
Stuttgart,0,0,Markus@radioclash.de,Markus@radioclash.de,0,0,Deutschland
Herrenberg,0,0,http://www.facebook.com/pbf.shows?fref=ts,0,0,0,Deutschland
Herrenberg,0,0,http://www.facebook.com/DiyShowsHerrenberg?ref=stream,0,0,0,Deutschland
Nürtingen,0,0,booking@jab-nuertingen.de,booking@jab-nuertingen.de,0,0,Deutschland
Künzelsau,0,0,https://www.facebook.com/WoodhammerEntertainment/,0,0,0,Deutschland
Schwäbisch-Hall,0,0,julianruppel@gmail.com,julianruppel@gmail.com,0,0,Deutschland
Heilbronn,0,0,https://www.facebook.com/joggingonthespot?fref=ts,0,0,0,Deutschland
Offenburg,0,0,https://www.facebook.com/SelfmadeSaviorVocal?fref=pb&hc_location=friends_tab,0,0,0,Deutschland
Karlsruhe,0,0,http://www.facebook.com/pages/F%C3%A4cherstadt-Hardcore/355480127814419,0,0,0,Deutschland
Mannheim,0,0,https://www.facebook.com/fortheyouthconcerts,0,0,0,Deutschland
Mannheim,0,0,https://www.facebook.com/noisefestofficial,0,0,0,Deutschland
Mannheim,0,0,https://www.facebook.com/PhoenixFest,0,0,0,Deutschland
Tübingen,0,0,https://www.facebook.com/HASSLEBEN?fref=pb&hc_location=friends_tab,0,0,0,Deutschland
Tübingen,0,0,subzine@yahoo.de,subzine@yahoo.de,0,0,Deutschland
Ravensburg,0,0,https://www.facebook.com/roseclub2,0,0,0,Deutschland
Balingen,0,0,https://www.facebook.com//HASSLEBEN,0,0,0,Deutschland
Regensburg,0,0,https://www.facebook.com/derBergmensch?fref=pb&hc_location=friends_tab,0,0,0,Deutschland
Regensburg,0,0,"https://www.facebook.com/extremelifewasting

",extremelifewasting@web.de,0,0,Deutschland
Regensburg ,0,0,https://www.facebook.com/ursula.c.peter?fref=ts,0,0,0,Deutschland
Regensburg ,0,0,"https://www.facebook.com/MolochKollektiv?fref=ts
",molochkollektiv@gmail.com,0,0,Deutschland
Regensburg,0,0,https://www.facebook.com/michaelagebust?fref=ts,0,0,0,Deutschland
Regensburg,0,0,collectiveshows@googlemail.com,collectiveshows@googlemail.com,0,0,Deutschland
Zwiesel (Jugendcafé),0,0,"
https://www.facebook.com/profile.php?id=100008238004669",meininger-jugendcafe@web.demeininger-jugendcafe@web.de,0,0,Deutschland
Simbach am Inn (Stray Fest),0,0,"https://www.facebook.com/valentin.laabmayr
https://www.facebook.com/anna.gerner.12",0,0,0,Deutschland
Bitterfeld,0,0,https://www.facebook.com/marie.luddecke,0,0,0,Deutschland
Halle,0,0,"https://www.facebook.com/g0n5ch0r3k
",0,0,0,Deutschland
Halle,0,0,"https://www.facebook.com/CheeseCakeCrew?fref=ts
",0,0,0,Deutschland
Halle,0,0,https://www.facebook.com/no.profit.94?fref=ts,0,0,0,Deutschland
Halle,0,0,https://www.facebook.com/CharredRomeoBooking,0,0,0,Deutschland
Halle,0,0,"https://www.facebook.com/haltmich.fest.de
",0,0,0,Deutschland
Zittau,0,0,"https://www.facebook.com/headsdownrecords
https://www.facebook.com/toothchipper666?fref=ts",0,0,0,Deutschland
Zittau,0,0,https://www.facebook.com/pages/WIFAGENA-RECORDS/241948202512996,0,0,0,Deutschland
Berlin,0,0,Stateless Society: https://www.facebook.com/attack.tim,0,0,0,Deutschland
Berlin,0,0,https://www.facebook.com/KollektivKursk?fref=ts,0,0,0,Deutschland
Berlin,0,0,https://www.facebook.com/fameover,0,0,0,Deutschland
Berlin,0,0,https://www.facebook.com/jonas.hasselhoff,0,0,0,Deutschland
Berlin,0,0,"https://www.facebook.com/SleazeShows
https://www.facebook.com/profile.php?id=100002338695145",0,0,0,Deutschland
Berlin,0,0,https://www.facebook.com/100002338695145,0,0,0,Deutschland
Berlin,0,0,https://www.facebook.com/daniel.hanel.7,0,0,0,Deutschland
Berlin,0,0,https://www.facebook.com/flobstsalat,0,0,0,Deutschland
Berlin,0,0,https://www.facebook.com/AuntieAnnePretzels?fref=nf,0,0,0,Deutschland
Berlin (Köpi),0,0,https://www.facebook.com/pages/Synalgie-Records/362699130823,0,0,0,Deutschland
Cottbus,0,0,https://www.facebook.com/messages/tonno.kdhc,0,0,0,Deutschland
Cottbus,0,0,https://www.facebook.com/roachesandrats,0,0,0,Deutschland
Lauchhammer,0,0,https://www.facebook.com/stefano.cepro,0,0,0,Deutschland
Lauta,0,0,https://www.facebook.com/jugendhaus.lauta,0,0,0,Deutschland
Potsdam,0,0,https://www.facebook.com/michael.waterman.79,0,0,0,Deutschland
Potsdam,0,0,https://www.facebook.com/steven.kierek,0,0,0,Deutschland
Forst,0,0,https://www.facebook.com/206228286061767,0,0,0,Deutschland
Jena,0,0,https://www.facebook.com/posi.box,0,0,0,Deutschland
Jena,0,0,https://www.facebook.com/monkeymoshevents,0,0,0,Deutschland
Jena/Schwarzenberg,0,0,https://www.facebook.com/illm.agic,0,0,0,Deutschland
Schmölln,0,0,https://www.facebook.com/stakreloaded.sln,0,0,0,Deutschland
Weimar,0,0,https://www.facebook.com/lotusentertainment?fref=pb&hc_location=profile_browser,0,0,0,Deutschland
Weimar,0,0,https://www.facebook.com/manuel.sippel,0,0,0,Deutschland
Weimar,0,0,https://www.facebook.com/allivegotfest?fref=pb&hc_location=profile_browser,0,0,0,Deutschland
Weimar,0,0,"https://www.facebook.com/lion.crew.961?fref=ts
https://www.facebook.com/lioncrewconcerts?fref=ts",0,0,0,Deutschland
Erfurt,0,0,https://www.facebook.com/CafeTikolor,0,0,0,Deutschland
Dessau,0,0,https://www.facebook.com/easternprojects1?fref=ts,0,0,0,Deutschland
Dessau,0,0,https://www.facebook.com/pages/We-are-the-Underdogs/409457789173847,0,0,0,Deutschland
Lichtenstein,0,0,https://www.facebook.com/pages/JZ-RIOT-LICHTENSTEIN/234123229727,0,0,0,Deutschland
Lichtenstein,0,0,https://www.facebook.com/lowereastsidegrey,0,0,0,Deutschland
Leisnig,0,0,https://www.facebook.com/ajz.leisnig,0,0,0,Deutschland
Grimma,0,0,feliwenzel@gmx.de,feliwenzel@gmx.de,0,0,Deutschland
Aue,0,0,https://www.facebook.com/sebastian.openyoureyes,0,0,0,Deutschland
Eppendorf,0,0,https://www.facebook.com/rico.gunther.357,0,0,0,Deutschland
Hartha (Bei Wechselburg),0,0,https://www.facebook.com/pages/Treibsand-Freiland-Open-Air/163226903787990,0,0,0,Deutschland
Brand-Erbisdorf,0,0,"https://www.facebook.com/benni09618
https://www.facebook.com/philipp.hahnel.50",0,0,0,Deutschland
Brand-Erbisdorf,0,0,"https://www.facebook.com/bathoryaestate
https://www.facebook.com/messages/search/100008466366835?query=kvrt",0,0,0,Deutschland
Brand-Erbisdorf,0,0,https://www.facebook.com/lehmi.zwecklos,0,0,0,Deutschland
Brand-Erbisdorf,0,0,https://www.facebook.com/pages/ImI-eV-Brand-Erbisdorf/120319958071794,0,0,0,Deutschland
Freiberg,0,0,https://www.facebook.com/AllesImClub,0,0,0,Deutschland
Chemnitz,0,0,https://www.facebook.com/StayRebelFestival,0,0,0,Deutschland
Chemnitz,0,0,https://www.facebook.com/357939127652247,0,0,0,Deutschland
Chemnitz (Subway To Peter),0,0,https://www.facebook.com/pages/Subway-to-Peter/116164375124181,0,0,0,Deutschland
Chemnitz (AC17),0,0,https://www.facebook.com/acsiebzehn,0,0,0,Deutschland
Chemnitz,0,0,"
https://www.facebook.com/profile.php?id=100001402685568",Robser97@web.de,0,0,Deutschland
Leipzig,0,0,https://www.facebook.com/thisisblackheart,0,0,0,Deutschland
Leipzig,0,0,https://www.facebook.com/alex.schroder.35,0,0,0,Deutschland
Leipzig,0,0,https://www.facebook.com/jmuehsam,0,0,0,Deutschland
Leipzig,0,0,https://www.facebook.com/pages/We-are-the-Underdogs/409457789173847,0,0,0,Deutschland
Wegeleben,0,0,JC Wegeleben: https://www.facebook.com/jcwegeleben,0,0,0,Deutschland
Magdeburg/Leipzig,0,0,https://www.facebook.com/tante.kaethe.3,0,0,0,Deutschland
Magdeburg (LIZ),0,0,https://www.facebook.com/lotta.likedeeler,0,0,0,Deutschland
Magdeburg,0,0,https://www.facebook.com/knast.magdeburg,0,0,0,Deutschland
Magdeburg,0,0,LKP-SHOWS: https://www.facebook.com/pages/LKP-Shows/1643967449155562,0,0,0,Deutschland
Roßwein,0,0,https://www.facebook.com/christian.rudiger.39,0,0,0,Deutschland
Roßwein/Dresden,0,0,https://www.facebook.com/dumbosissy,0,0,0,Deutschland
Dresden,0,0,https://www.facebook.com/boehm.margera,0,0,0,Deutschland
Dresden,0,0,https://www.facebook.com/blkout.tommy,0,0,0,Deutschland
Dresden,0,0,sglatschdglei@gmx.de  (Göbi),sglatschdglei@gmx.de  (Göbi),0,0,Deutschland
Nünchritz/Riesa,0,0,https://www.facebook.com/mazze.grey?fref=ts,0,0,0,Deutschland
Großenain,0,0,https://www.facebook.com/norman.normal.54,0,0,0,Deutschland
Niesky/Dresden,0,0,https://www.facebook.com/PariaConnection?fref=ts,0,0,0,Deutschland
Niesky,0,0,https://www.facebook.com/matthias.kunzendorf,0,0,0,Deutschland
Görlitz,0,0,https://www.facebook.com/messages/norman.ovitch,0,0,0,Deutschland
Zittau,0,0,https://www.facebook.com/EMIL.whatnext,0,0,0,Deutschland
Neukirch,0,0,https://www.facebook.com/rocknriotbooking,0,0,0,Deutschland
Neukirch,0,0,https://www.facebook.com/saskia.hohne.1,0,0,0,Deutschland
Roßwein/Döbeln/Dresden,0,0,https://www.facebook.com/caught.in.those.memories,0,0,0,Deutschland
Altenburg,0,0,https://www.facebook.com/benjamin.schakle,0,0,0,Deutschland
Altenburg,0,0,https://www.facebook.com/trueheartedcrew,0,0,0,Deutschland
Zeulenroda,0,0,"https://www.facebook.com/schieszhaus
https://www.facebook.com/tino.fleissner?fref=ts
https://www.facebook.com/messages/kevin.baumann.12",0,0,0,Deutschland
Plauen,0,0,https://www.facebook.com/sxe4life81,0,0,0,Deutschland
Plauen,0,0,https://www.facebook.com/em.rise.5,0,0,0,Deutschland
Glauchau,0,0,https://www.facebook.com/M9381512B,0,0,0,Deutschland
Rodewisch,0,0,https://www.facebook.com/VeranstaltungsmanagementStrobel,0,0,0,Deutschland
Gera,0,0,https://www.facebook.com/GrrrrHardcorePunk,0,0,0,Deutschland
Gera,0,0,https://www.facebook.com/knorbel.miborbel,0,0,0,Deutschland
Gera,0,0,https://www.facebook.com/dangerDanschl,0,0,0,Deutschland
Neustadt /Orla,0,0,https://www.facebook.com/exilshows,0,0,0,Deutschland
Halle,0,0,https://www.facebook.com/SchafAufEisbergBooking,0,0,0,Deutschland
Ilmenau,0,0,"https://www.facebook.com/maxschlegel93?fref=nf
https://www.facebook.com/FriendsComeFirstShows",0,0,0,Deutschland
Friemar,0,0,https://www.facebook.com/sepp.muller.5,0,0,0,Deutschland
Quedlinburg,0,0,https://www.facebook.com/kuz.reichenstrasse,0,0,0,Deutschland
Göttingen,0,0,0,pickelhaube.77@web.de,0,0,Deutschland
Kronach,0,0,https://www.facebook.com/struwwelpeter.kronach,0,0,0,Deutschland
Kassel,0,0,https://www.facebook.com/diycassel?fref=pb&hc_location=profile_browser ,0,0,0,Deutschland
Kassel,0,0,https://www.facebook.com/messages/dns.sxe,0,0,0,Deutschland
Kassel,0,0,https://www.facebook.com/wild.heart.entertainment,0,0,0,Deutschland
Kassel,0,0,https://www.facebook.com/xron.panx,0,0,0,Deutschland
Kassel,0,0,https://www.facebook.com/tinker.ina,0,0,0,Deutschland
Wunstorf (bei Hannover),0,0,"https://www.facebook.com/Evilmonkeyshows 
",evil.monkey.shows@gmx.de,0,0,Deutschland
Hannover  (Sturmglocke),0,0,Schwerttanzelefant@gmx.de,Schwerttanzelefant@gmx.de,0,0,Deutschland
Asendorf,0,0,"https://www.facebook.com/bo.asendorf
https://www.facebook.com/UHBooking",0,0,0,Deutschland
Braunschweig,0,0,https://www.facebook.com/xiggyxhp,0,0,0,Deutschland
Wolfsburg,0,0,https://www.facebook.com/withhonestyentertainment,0,0,0,Deutschland
Lübeck (VeB Lübeck),0,0,http://www.veb-luebeck.de/,0,0,0,Deutschland
Wismar,0,0,https://www.facebook.com/tikozigalpa?fref=ts,0,0,0,Deutschland
Rostock,0,0,https://www.facebook.com/pages/XLove-Life-Bookingx/158834447503425 ,0,0,0,Deutschland
Rostock (Baghel),0,0,"session.studio@yahoo.de
","session.studio@yahoo.de
",0,0,Deutschland
Hamburg,0,0,https://www.facebook.com/gvgoeshc,0,0,0,Deutschland
Hamburg,0,0,https://www.facebook.com/backtothepoint ,0,0,0,Deutschland
Hamburg,0,0,https://www.facebook.com/stayxpure?fref=pb&hc_location=friends_tab,0,0,0,Deutschland
Hamburg (Hafenklang),0,0,https://www.facebook.com/martin.deathorbetterdays,0,0,0,Deutschland
Hamburg (Hafenklang),0,0,https://www.facebook.com/deathorbetterdays,0,0,0,Deutschland
Hamburg (FS115),0,0,https://www.facebook.com/lynn.ey.1,0,0,0,Deutschland
Hamburg,0,0,https://www.facebook.com/ViolentBananaShows ,violentbananashows@gmail.com,0,0,Deutschland
Hamburg,0,0,https://www.facebook.com/59Hamburg,0,0,0,Deutschland
Hamburg,0,0,https://www.facebook.com/BeyondBordersMusic,0,0,0,Deutschland
Greifswald (JUZ Klex),0,0,"https://www.facebook.com/DieEisprinzessin (Stephan)
https://www.facebook.com/robin.syg (Robin)
https://www.facebook.com/juzklex
https://www.facebook.com/soffi.schnapspraline?fref=ts",0,0,0,Deutschland
Oldenburg,0,0,https://www.facebook.com/mpunktzpunkt,0,0,0,Deutschland
Oldenburg,0,0,https://www.facebook.com/pages/Fat-Hoschi-Events/740205712661126?fref=ts,0,0,0,Deutschland
Bremen,0,0,https://www.facebook.com/Bremengoeshc,0,0,0,Deutschland
Bremen,0,0,https://www.facebook.com/philip.spence.94?fref=pb&hc_location=friends_tab,0,0,0,Deutschland
Bremen,0,0,https://www.facebook.com/StartAFireRecords?fref=ts,0,0,0,Deutschland
Hameln,0,0,https://www.facebook.com/freiraumhameln?fref=ts,0,0,0,Deutschland
Meppen,0,0,https://www.facebook.com/minusrockcity?fref=ts,0,0,0,Deutschland
Meppen,0,0,https://www.facebook.com/kleinstadtkind,0,0,0,Deutschland
0,0,0,https://www.facebook.com/messages/jakub.brzek,0,0,0,Polen
"Nowy Sacz, Prag etc.",0,0,https://www.facebook.com/pages/Raw-Code-Booking/601912379899892?fref=ts,0,0,0,Polen
"Opole, Breslau, Wroclaw etc.",0,0,"https://www.facebook.com/trutek?fref=ts
https://www.facebook.com/WildBreadBooking?fref=ts",0,0,0,Polen
Warschau,0,0,https://www.facebook.com/przychodniasquat,0,0,0,Polen
Warschau,0,0,https://www.facebook.com/messages/sailorsgraveband,0,0,0,Polen
Warschau,0,0,https://www.facebook.com/messages/maciek.gofron,0,0,0,Polen
Warschau,0,0,https://www.facebook.com/bcgigs?fref=ts,0,0,0,Polen
Warschau,0,0,https://www.facebook.com/GhostWolfProd?ref=ts&fref=ts,0,0,0,Polen
Warschau,0,0,https://www.facebook.com/romanoski.mateusz?fref=ts,0,0,0,Polen
Warschau,0,0,https://www.facebook.com/messages/cebitowski,0,0,0,Polen
Warschau,0,0,https://www.facebook.com/lukasz.borowik?fref=ts,0,0,0,Polen
Warschau,0,0,"CLUBS:
https://www.facebook.com/klub.eufemia
https://www.facebook.com/adapulawska
https://www.facebook.com/przychodniasqua",0,0,0,Polen
Krakau,0,0,"https://www.facebook.com/vyrak
(https://www.facebook.com/blindmanmelodies?fref=ts)",0,0,0,Polen
Krakau,0,0,https://www.facebook.com/groov.dmd?fref=ts,0,0,0,Polen
Krakau,0,0,https://www.facebook.com/messages/arek.amr,0,0,0,Polen
Krakau,0,0,https://www.facebook.com/messages/wojtek.kozielski,0,0,0,Polen
Krakau (DROWNFEST),0,0,https://www.facebook.com/drownfest,0,0,0,Polen
Krakau (Kawiarnia Naukowa),0,0,https://www.facebook.com/KawiarniaNaukowaKrakow,0,0,0,Polen
Krakau,0,0,https://www.facebook.com/krakowhcpunk,0,0,0,Polen
Krakau,0,0,https://www.facebook.com/kolektyw.dajwor,0,0,0,Polen
Krakau,0,0,https://www.facebook.com/Diamond.Booking.Promotions?fref=ts,0,0,0,Polen
Krakau,0,0,"https://www.facebook.com/boredombooking?fref=ts

(https://www.facebook.com/tomboredom?fref=ts)",(goldenxage@o2.pl),0,0,Polen
Krakau,0,0,https://www.facebook.com/okyouare?fref=ts,0,0,0,Polen
Krakau,0,0,https://www.facebook.com/silesiariotcrew,0,0,0,Polen
Krakau,0,0,https://www.facebook.com/gorski.tomek?fref=ts,0,0,0,Polen
Posen,0,0,https://www.facebook.com/poznanhardcore?fref=ts,0,0,0,Polen
Posen,0,0,https://www.facebook.com/messages/pmkbooking,0,0,0,Polen
Posen,0,0,https://www.facebook.com/100000604339019,0,0,0,Polen
Posen,0,0,https://www.facebook.com/kris.dis.9,0,0,0,Polen
Posen,0,0,https://www.facebook.com/bstobinski,0,0,0,Polen
Posen,0,0,"Tom Butter:
https://www.facebook.com/profile.php?id=100000332122458 ",0,0,0,Polen
Posen,0,0,https://www.facebook.com/fcpunk?fref=ts,0,0,0,Polen
Breslau/Wroclaw,0,0,https://www.facebook.com/coreporationgigs,0,0,0,Polen
Opole,0,0,"kubakunysz@tlen.pl
","kubakunysz@tlen.pl
",0,0,Polen
"Rawicz, Wroclaw",0,0,https://www.facebook.com/MadAndLoud?fref=ts,0,0,0,Polen
0,0,0,hcplbooking@googlegroups.com,hcplbooking@googlegroups.com,0,0,Polen
Prag,0,0,https://www.facebook.com/pavel.nezval.1?fref=ts,0,0,0,Tschechien
Prag,0,0,"https://www.facebook.com/pages/XsagvantofuX-DIY-shows/153711751340715
PAVEL:
",xtagvantofux@yahoo.com,0,0,Tschechien
Prag,0,0,"https://www.facebook.com/StartTodayPromotion
(JAKUB JOHANIDES: xjohykx@gmail.com; https://www.facebook.com/messages/jakub.johanides)",xjohykx@gmail.comxjohykx@gmail.com,0,0,Tschechien
Prag,0,0,https://www.facebook.com/jakob.plenta,0,0,0,Tschechien
"Prag
(Café na půl cesty)",0,0,"https://www.facebook.com/cafenapulcesty?fref=ts
cafe-zavinac-greendoors.cz",0,0,0,Tschechien
Prag,0,0,https://www.facebook.com/nerdsforliberation,0,0,0,Tschechien
Prag,0,0,https://www.facebook.com/Katerina.Jara,0,0,0,Tschechien
Prag,0,0,https://www.facebook.com/BrainWaveProduction?fref=ts,0,0,0,Tschechien
Prag,0,0,https://www.facebook.com/mikulasjirout,0,0,0,Tschechien
Prag,0,0,https://www.facebook.com/messages/franta.jetel.88,0,0,0,Tschechien
Prag/Brno,0,0,https://www.facebook.com/marek.z.docekal?fref=ts,0,0,0,Tschechien
Karlsbad,0,0,https://www.facebook.com/pavel.pavlu.94,0,0,0,Tschechien
Jihlava,0,0,Jakub: https://www.facebook.com/james.abecedarian,0,0,0,Tschechien
Liberec,0,0,https://www.facebook.com/simonbrzobohaty,0,0,0,Tschechien
Liberec,0,0,https://www.facebook.com/tomas.hajicek.3?fref=ts,0,0,0,Tschechien
Liberec (Bunkrrockclub),0,0,https://www.facebook.com/Bunkrrockclub,0,0,0,Tschechien
Ostrava,0,0,https://www.facebook.com/Rouzees?fref=ts,0,0,0,Tschechien
Ostrava,0,0,http://www.stanleystar.com/ https://www.facebook.com/pages/Stanley-Star-Promotion/137313319669998,0,0,0,Tschechien
